creaturename,nametotype,bodyid,hues,notoriety,slayers,oppositeslayers,barddiff,physical,fire,cold,poison,energy,hitpoints,stamina,mana,str,dex,int,wrestling,tactics,resspell,anatomy,poisoning,healing,magery,evalint,meditation,tamable,halfstat,eightstat,isboss,ismount,location,specials,damage,slots,multislot,isneutral,innatemagery,innatenecro,innatepoisoning,innatemysticism,
coral snake,,52,33,4,Reptile-Snake,Arachnid,81.8,35-45,5-10,5-10,100-100,5-10,100-140,170-255,20-40,265-330,170-255,20-40,85-100,85-100,95-100,0-0,90-100,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
corgul the soulbinder,,76,2076,4,Repond,Undead,160,85-95,80-90,85-95,80-90,80-90,50000-50000,125-145,10000-10000,840-890,125-145,280-330,110-120,105-115,0-0,0-0,0-0,0-0,105-120,105-115,0-0,,,,true,,,,,,,,,,,,
corporeal brume,,260,0,4,None,None,125.9,100-100,40-50,40-50,50-60,35-40,1185-1235,110-140,50-60,435-445,110-140,50-60,110-115,110-115,80-95,100-110,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
corpser,,8,0,4,None,None,37.8,15-20,15-25,10-20,20-30,0-0,90-110,25-45,0-0,155-180,25-45,25-40,45-60,45-60,15-20,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
corrosive slime,,51,SlimeHue,4,None,None,33.4,5-10,0-0,0-0,15-20,0-0,15-20,15-25,15-25,20-35,15-25,15-25,20-30,20-30,15-20,0-0,35-50,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
corrupted mage,IsCorruptedMage,124,0,7,Repond-Mage,Undead,110,65-70,65-75,65-70,65-70,65-70,1150-1450,100-125,800-950,160-190,100-125,170-200,100-140,110-130,110-130,0-0,0-0,0-0,100-140,100-140,90-110,,,,,,,,,,,,,,,,
corrupted wyvern,,62,0,4,Reptile-Dragon,Arachnid,100,65-100,45-100,80-100,30-100,65-100,119-119,383-383,142-142,66-66,174-174,96-96,140-160,140-160,125-160,140-160,140-160,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
corrupted wyvern,,62,0,4,Reptile-Dragon,Arachnid,160,96-96,97-97,94-94,95-95,97-97,1276-1276,5062-5062,1683-1683,232-232,835-835,252-252,159.7-159.7,159.7-159.7,159.5-159.5,159.7-159.7,158.9-158.9,0-0,0-0,0-0,0-0,,,,,,covetous prison,,,,,,,,,,
cougar,,63,0,4,None,None,33.3,20-25,5-10,10-15,5-10,0-0,30-50,65-85,0-0,55-80,65-85,25-50,45-60,45-60,15-30,0-0,0-0,0-0,0-0,0-0,0-0,41.1,,,,,,,4-10,1-3,,true,,,,,
covetous revenant,,400,33918,4,Undead,Repond,120,63-63,51-51,35-35,44-44,51-51,436-436,89-89,303-303,276-276,69-69,230-230,130-130,120.4-120.4,130-130,120.4-120.4,0-0,0-0,130-130,130-130,130-130,,,,,,,,,,,,,,,,
covetous wyrm,,106,0,4,Reptile-Dragon,Arachnid,130,68-68,76-76,58-58,37-37,64-64,453-453,319-319,474-474,250-250,145-145,300-300,140.2-140.2,140.2-140.2,133.8-133.8,140.2-140.2,133.8-133.8,0-0,133.8-133.8,133.8-133.8,133.8-133.8,,,,,,,,,,,,,,,,
covetous wyrm,,106,0,4,Reptile-Dragon,Arachnid,160,96-96,97-97,94-94,95-95,97-97,4797-4797,4219-4219,6333-6333,872-872,696-696,948-948,159.7-159.7,159.7-159.7,159.5-159.5,159.7-159.7,158.9-158.9,0-0,159.5-159.5,159.5-159.5,159.5-159.5,,,,,,covetous prison,,,,,,,,,,
cow,,216-231,0,4,Bovine,None,6.6,5-15,0-0,0-0,0-0,0-0,15-20,15-15,0-0,30-30,15-15,5-5,5-10,5-10,5-10,0-0,0-0,0-0,0-0,0-0,0-0,11.1,,,,,,,1-4,1-3,,true,,,,,
crane,,254,0,4,Bird,None,9.2,5-5,0-0,0-0,0-0,0-0,25-35,15-25,0-0,25-35,15-25,10-15,10-15,10-15,0-5,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,true,,,,,
crazed,IsCrazed,400-401,SkinHue,7,Repond-Mage,Undead,?,60-80,50-60,50-60,50-60,50-60,24000-25000,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
crimson drake,,1419-1420,0-33929-34134-34136-34141,4,None,None,80.6,30-50,30-50,30-50,30-50,30-50,241-258,130-150,100-140,400-430,130-155,100-140,65-80,65-90,65-80,0-0,0-0,0-0,0-0,0-0,0-0,84.3,,,,,,1157414,11-17,2-5,,,,,,,
crystal daemon,,784,1000,4,Demon,Elemental-Fey,109.5,20-40,5-20,60-80,20-40,65-75,200-215,130-145,800-840,150-200,130-150,800-840,60-80,70-80,100-110,0-0,0-0,0-0,120-130,100-110,100-110,,,,,,,,,,,,,,,,
crystal elemental,,300,0,4,Elemental,Demon,83.6,50-60,40-50,40-50,100-100,55-70,150-150,50-65,85-110,135-160,50-65,85-110,65-75,75-85,80-90,0-0,0-0,0-0,70-75,70-75,65-75,,,,,,,,,,,,,,,,
crystal hydra,,265,1150,4,Reptile-Dragon,Arachnid,138.3,65-75,20-30,85-100,35-45,80-100,1465-1500,100-120,100-110,800-830,100-120,100-110,100-120,100-110,85-100,75-80,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
crystal lattice seeker,,123,1150,4,Fey,Demon,115.1,80-90,40-50,40-50,40-50,40-50,355-530,190-245,350-460,605-845,190-245,350-460,95-100,90-100,90-100,50-75,0-0,0-0,95-100,95-100,90-100,,,,,,,,,,,,,,,,
crystal sea serpent,,150,1150,4,Reptile,Arachnid,83.6,50-65,0-0,70-90,20-30,70-65,230-325,100-145,95-155,255-415,100-145,95-155,60-70,60-70,60-75,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
crystal vortex,,13,690,4,None,None,94,60-75,0-10,70-80,40-50,60-90,350-400,450-450,0-0,800-900,530-600,200-200,120-120,120-120,120-120,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
crystal wisp,,58,1154,4,None,None,82,35-45,10-30,50-70,20-40,5-10,115-135,195-225,195-225,195-225,195-225,195-225,80-80,80-80,80-80,0-0,0-0,0-0,80-80,80-80,0-0,,,,,,,,,,,,,,,,
cu sidhe,,277,0-2426-2218-1447-2424-2305-1319-2220-1301-1154-1201-1652-1109-1153-1161,4,Fey-Wolf,Demon,126.9,50-65,25-45,70-85,30-50,70-85,1000-1200,150-170,250-290,1200-1225,85-170,250-290,90-100,90-100,75-90,65-100,0-0,70-100,0-0,0-0,0-0,101.1,true,,,true,,1075829-1044077,21-28,3-5,,,,,,,
cursed,IsCursed,400-401,CursedSkinHue,7,None,None,72,15-25,5-10,25-35,5-10,5-10,90-120,85-95,60-70,90-100,85-95,60-70,0-0,60-85,50-65,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
cyclopean warrior,,75,0,4,Repond,Undead,73.2,45-50,30-40,25-35,30-40,30-40,200-235,95-115,0-0,335-385,95-115,30-55,80-90,80-100,60-105,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
daemon,IsDaemon,9,0,4,Demon,Elemental-Fey,89.8,45-60,50-60,30-40,20-30,30-40,285-305,75-95,300-325,475-505,75-95,300-325,60-80,70-80,85-95,0-0,0-0,0-0,70-80,75-80,0-0,,,,,,,,,,,,,,,,
daemon (summoned),IsDaemon,9,0,,Demon,Elemental-Fey,89.4,45-55,50-60,20-30,70-80,40-50,200-200,110-110,150-150,200-200,110-110,150-150,95-100,100-100,90-100,0-0,0-0,0-0,90-100,90-100,90-100,,,,,,,,,,,,,,,,
daemon mongbat,,39,0,4,Demon,Elemental-Fey,140,64-64,68-68,92-92,91-91,82-82,695-695,350-350,695-695,239-239,123-123,239-239,157.1-157.1,157.1-157.1,151.3-151.3,157.1-157.1,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
dark father,IsDarkFather,318,0,4,Demon,Elemental-Fey,160,30-30,30-30,30-30,30-30,30-30,30000-30000,100-100,5000-5000,500-500,100-100,1000-1000,120-120,100-100,150-150,0-0,0-0,0-0,100-100,100-100,120-120,,,,,,,,,,,,,,,,
dark guardian,,78,1001,4,Undead,Repond,88.1,40-50,20-45,50-60,20-45,30-40,150-180,100-120,200-235,125-150,100-120,200-235,0-0,50-70,50-70,0-0,0-0,0-0,50-60,45-50,85-95,,,,,,,,,,,,,,,,
dark wisp,,165,0,4,None,None,60,35-45,10-20,10-20,10-20,60-70,110-140,195-225,195-225,195-315,195-225,195-225,50-50,80-80,80-90,0-0,0-0,0-0,100-110,80-90,20-20,,,,,,,,,,,,,,,,
dark wolf (summoned),,99,2305,,None,None,Immune,40-50,25-40,25-40,25-40,25-40,60-60,90-90,0-0,100-100,90-90,90-90,85-90,50-50,0-0,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
darknight creeper,IsDarknightCreeper,313,0,4,Undead,Repond,160,60-60,60-60,100-100,90-90,75-75,4000-4000,100-110,300-330,300-330,100-110,300-330,90-95,100-100,90-95,0-0,120-120,0-0,110-120,115-120,150-150,,,,,,,,,,,,,,,,
dazzled harpy,,30,0,4,None,None,40,30-40,20-30,20-30,30-40,20-30,100-150,85-110,50-75,95-120,85-110,50-75,60-90,70-100,50-65,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
death adder (summoned),,21,1109,,None,None,Immune,10-10,0-0,0-0,100-100,0-0,50-50,150-150,0-0,70-70,150-150,100-100,90-90,50-50,0-0,0-0,150-150,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
deathwatch beetle,,242,0,4,Beetle,None,53.4,35-40,15-30,15-30,50-80,20-35,120-130,40-55,20-20,135-160,40-55,30-40,50-60,65-80,50-60,30-35,0-0,0-0,0-0,0-0,0-0,41.1,,,,,,1028841,5-10,1-4,,,,,,,
deathwatch beetle hatchling,,242,0,4,Beetle,None,33.3,35-40,15-30,15-30,20-40,20-35,50-60,40-55,20-20,25-50,40-55,20-30,30-40,45-60,30-40,20-25,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
deep sea serpent,,150,5-2208,4,Reptile-Snake,Arachnid,77,30-40,70-80,40-50,30-40,15-20,150-255,85-135,85-155,250-425,85-135,85-155,60-70,60-70,60-75,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
desert ostard,,210,0,4,Bird,None,32.3,15-20,5-15,0-0,0-0,0-0,70-90,55-75,0-0,90-170,55-75,5-10,25-45,25-40,25-30,0-0,0-0,0-0,0-0,0-0,0-0,29.1,,,,true,,,5-11,1-3,,,,,,,
desert scorpion,,717,0,4,Arachnid-Scorpion-Eodon,Reptile,70,30-40,50-60,15-20,70-80,40-50,50-65,75-95,0-0,70-115,75-95,15-30,50-65,60-75,30-35,0-0,80-100,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
devourer of souls,,303,0,4,Demon,Elemental-Fey,114.3,45-55,25-35,15-25,60-70,40-50,650-650,125-175,200-250,800-950,125-175,200-250,80-100,75-85,90-105,0-0,0-0,0-0,90-100,95-100,90-100,,,,,,,,,,,,,,,,
devourer of souls renowned,,303,0,4,Demon,Elemental-Fey,160,45-55,25-35,15-25,60-70,40-50,1880-1930,130-155,220-230,800-910,130-155,220-230,95-100,70-80,90-100,0-0,0-0,0-0,90-100,90-100,90-100,,,,true,,,,,,,,,,,,
dimetrosaur,,1285,0,4,Dinosaur-Eodon-Reptile,Myrmidex,160,80-90,60-70,60-70,65-75,65-75,5488-6000,166-184,361-435,522-614,166-184,361-435,110-130,100-120,125-140,0-0,0-0,0-0,0-0,0-0,0-0,102,true,true,,,,1028843-1028846-1157475,18-21,3-5,,,,,true,,
dire wolf,,23,0,4,Wolf,None,50.3,20-25,10-20,5-10,5-10,10-15,46-72,81-105,36-60,96-120,81-105,36-60,60-80,50-70,55-75,0-0,0-0,0-0,0-0,0-0,0-0,83.1,,,,,,,11-17,1-4,,,,true,,,
diseased blood elemental,,159,1779,4,Elemental-Blood Elemental,Demon,150,65-75,55-65,50-60,60-70,50-60,2560-2730,60-95,1430-1560,640-790,60-95,250-400,120-140,120-140,110-130,0-0,100-100,0-0,100-120,115-130,130-155,,,,,,,,,,,,,,,,
diseased lich,,24,0,4,Undead-Mage,Repond,110,63-63,51-51,35-35,44-44,51-51,124-124,85-85,259-259,79-79,65-65,197-197,130-130,120.4-120.4,130-130,120.4-120.4,0-0,0-0,130-130,130-130,130-130,,,,,,,,,,,,,,,,
dog,,217,AnimalsHue,4,None,None,18.7,10-15,0-0,0-0,0-0,0-0,15-25,25-45,0-0,25-40,25-45,25-40,15-35,15-35,20-50,0-0,0-0,0-0,0-0,0-0,0-0,-21.3,,,,,,,4-7,1-3,,true,,,,,
dolphin,,151,0,4,None,None,35.6,15-20,70-80,25-30,10-15,10-15,15-30,65-85,95-110,20-50,65-85,95-110,15-30,15-30,15-20,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
doppleganger,,777,0,4,None,None,65.1,50-60,10-20,40-50,50-60,30-40,100-120,55-75,80-105,80-110,55-75,80-105,80-90,70-80,75-85,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
doppleganger,,777,0,4,Demon,Elemental-Fey,140,64-64,68-68,92-92,91-91,82-82,555-555,555-555,295-295,191-191,191-191,114-114,157.1-157.1,157.1-157.1,151.3-151.3,157.1-157.1,0-0,0-0,0-0,0-0,0-0,,,,,,covetous,,,,,,,,,,
dragon,,12-59,0,4,Reptile-Dragon,Arachnid,105,55-65,60-70,30-40,25-35,35-45,478-495,86-105,436-475,796-825,86-105,436-475,90-95,95-100,95-100,0-0,0-0,0-0,30-40,35-40,0-0,93.9,,,,,,1157414-1002106,16-22,4-5,,,true,,,,
dragon turtle,,1288,0,4,Eodon,None,160,60-80,60-75,50-75,85-100,60-75,1000-2000,100-160,450-700,1150-1400,40-160,450-700,115-145,110-140,110-140,0-0,0-0,0-0,110-140,40-70,0-0,,,,true,,,,,,,,,,,,
dragon turtle hatchling,,1294,0,4,Eodon,None,160,60-85,65-90,40-55,40-60,50-75,1000-2000,80-148,475-675,1024-1400,80-148,475-675,115-145,110-140,110-140,0-0,0-0,0-0,110-140,40-70,0-0,104.7,true,,,,,1075829-1157414-1002106,24-33,4-5,7149,,true,,,,
dragon wolf,,719,0,4,Repond,Undead,88,45-55,30-40,30-40,40-50,40-50,776-852,67-77,54-77,785-915,67-77,54-77,60-75,55-70,113-140,0-0,0-0,0-0,0-0,0-0,0-0,102,,,,,,1157414,20-25,3-5,5760,,,,,,
drake,,60-61,0,4,Reptile-Dragon,Arachnid,80.6,45-50,50-60,40-50,20-30,30-40,241-258,133-150,101-140,401-430,133-152,101-140,65-80,65-90,65-80,0-0,0-0,0-0,0-0,0-0,0-0,84.3,,,,,,1157414,11-17,2-5,,,,,,,
dread horn,,257,0,4,None,None,160,40-55,50-65,50-65,70-75,60-75,50000-50000,585-590,1275-1275,810-1000,585-590,1275-1275,90-90,90-90,110-110,0-0,120-120,0-0,110-110,110-110,0-110,,,,true,,,,,,,,,,,,
dread spider,,11,0,4,Arachnid-Spider,Reptile,88,45-55,35-45,35-45,100-100,35-45,115-147,146-150,236-321,231-279,146-165,285-321,60-75,55-70,45-60,0-0,80-80,0-0,65-80,70-80,0-0,96,,,,,,1002106-1002122,15-18,3-5,,,true,true,true,,
dread warhorse,,179,1175,4,None,None,104,65-75,20-40,20-40,50-60,40-50,555-650,89-125,100-165,501-552,89-125,100-165,95-100,100-110,90-100,0-0,0-0,0-0,40-50,30-50,0-0,107.1,,,,true,,1157414-1002106,20-26,3-5,,,true,,,,
dream wraith,,740,0,4,Undead,Repond,Immune,50-60,35-45,40-50,40-50,20-30,500-600,85-100,560-580,220-240,85-100,560-580,95-105,70-80,140-145,0-0,0-0,0-0,105-130,105-110,100-105,,,,,,,,,,,,,,,,
drelgor the impaler,,147,0,4,Undead,Repond,70,40-45,20-25,50-60,25-30,30-35,120-150,80-100,40-45,90-150,80-100,40-45,60-60,60-60,60-60,0-0,0-0,0-0,0-0,0-0,0-0,,,,true,,,,,,,,,,,,
dryad,,256,0,2,Fey,Demon,103,40-50,15-25,40-45,30-40,25-35,300-320,150-170,250-275,130-150,150-170,250-275,70-80,70-80,110-120,0-0,0-0,0-0,70-80,70-80,80-90,,,,,,,,,,,,,,,,
dull copper elemental,,119,0,4,Elemental,Demon,73.8,30-40,30-40,10-20,20-30,20-30,135-155,125-145,70-95,225-255,125-145,70-95,60-100,60-100,50-95,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
eagle,,5,0,4,Bird,None,22,20-25,10-15,20-25,5-10,5-10,20-30,35-60,0-0,30-50,35-60,5-20,20-30,15-40,15-30,0-0,0-0,0-0,0-0,0-0,0-0,17.1,,,,,,,5-10,1-3,,true,,,,,
earth elemental,,14,0,4,Elemental-Earth Elemental,Demon,65,30-35,10-20,10-20,15-25,15-25,75-95,65-85,70-95,125-155,65-85,70-95,60-100,60-100,50-95,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
earth elemental (summoned),,14,0,,Elemental-Earth Elemental,Demon,68.3,65-75,70-80,0-10,50-60,50-60,180-180,70-70,70-70,200-200,70-70,70-70,90-90,100-100,65-65,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
earth elemental,,14,0,4,Elemental-Earth Elemental,Demon,100,67-67,50-50,71-71,71-71,50-50,248-248,135-135,65-65,143-143,86-86,46-46,146.9-146.9,146.9-146.9,130-130,146.9-146.9,0-0,0-0,0-0,0-0,0-0,,,,,,covetous,,,,,,,,,,
earth elemental,,14,0,4,Elemental-Earth Elemental,Demon,65,30-35,25-30,25-30,25-30,20-25,320-330,65-85,70-95,125-155,65-85,70-95,85-95,70-85,60-75,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,shame,,,,,,,,,,
effete putrid gargoyle,,4,0,7,Demon-Gargoyle,Elemental-Fey,64.4,35-45,20-30,50-60,20-30,30-40,100-130,75-95,35-60,195-250,75-95,35-60,65-75,65-80,55-70,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
effete undead gargoyle,,722,0,7,Undead,Repond,45.2,15-20,5-10,25-40,25-35,5-15,65-80,55-75,15-40,55-80,55-75,15-40,45-55,45-60,50-60,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
efreet,,131,0,4,Elemental,Demon,85,50-60,60-70,0-0,30-40,40-50,195-215,265-285,170-195,325-355,265-285,170-195,60-80,60-80,60-75,0-0,0-0,0-0,60-75,65-75,0-0,,,,,,,,,,,,,,,,
elder gazer,,22,0,4,None,None,90.2,45-55,60-70,40-50,40-50,40-50,175-195,85-105,290-385,295-325,85-105,290-385,80-100,80-100,115-130,60-100,0-0,0-0,90-100,95-100,0-0,,,,,,,,,,,,,,,,
elite ninja,,400-401,SkinHue,7,None,None,Immune,35-60,45-65,25-45,40-60,40-65,250-350,175-275,85-105,125-175,175-275,85-105,95-120,115-130,80-100,105-120,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
brigand,IsBrigand,605-606,ElfSkinHue,7,None,None,72.6,10-15,10-15,10-15,10-15,10-15,85-100,80-95,60-75,85-100,80-95,60-75,15-40,65-90,25-50,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
energy vortex,,164-220,0-118,7,None,None,75.3,60-70,40-50,40-50,40-50,90-100,140-140,250-250,0-0,200-200,200-200,100-100,120-120,100-100,95-100,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
enraged colossus,,829,0,7,None,None,153.3,55-65,25-35,50-60,50-60,25-35,1450-1550,70-70,400-400,600-600,70-70,80-80,115-135,115-135,115-135,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
enraged earth elemental,,14,442,4,Elemental-Earth Elemental,Demon,90.2,60-70,20-30,20-30,40-50,20-30,500-550,80-100,80-100,100-130,80-100,80-100,120-120,100-100,100-100,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
enslaved gargoyle,,753,0,4,Demon-Gargoyle,Elemental-Fey,70.8,30-40,50-70,15-25,25-30,25-30,185-215,75-95,80-105,300-360,75-95,80-105,40-80,50-70,70-85,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
enslaved goblin alchemist,,723,0,4,Repond-Goblin,Undead,80,40-50,45-55,30-40,35-45,10-20,170-200,60-80,110-140,285-320,60-80,110-140,100-110,80-90,120-130,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
enslaved goblin keeper,,334,0,4,Repond-Goblin,Undead,80,40-50,30-40,25-35,10-20,10-20,175-185,60-80,100-140,300-330,60-80,100-140,95-105,80-85,120-130,80-90,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
enslaved goblin mage,,334,0,4,Repond-Goblin,Undead,80,20-30,35-45,30-40,35-45,10-20,140-160,80-95,460-500,230-250,80-95,460-500,90-100,80-90,140-150,80-90,0-0,0-0,100-110,90-100,95-100,,,,,,,,,,,,,,,,
enslaved goblin scout,,334,0,4,Repond-Goblin,Undead,80,40-50,30-40,25-35,10-20,10-20,175-200,65-80,120-130,270-300,65-80,120-130,105-120,85-90,90-100,85-90,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
enslaved gray goblin,,334,0,4,Repond-Goblin,Undead,80,40-50,30-40,25-35,10-20,10-20,165-200,60-80,100-150,160-335,60-80,100-150,90-105,80-90,120-130,80-90,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
enslaved green goblin,,334,0,4,Repond-Goblin,Undead,80,40-50,30-40,25-35,10-20,10-20,165-210,60-80,100-140,265-340,60-80,100-140,90-105,80-90,120-130,80-90,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
eternal gazer,,22,0,4,None,None,160,65-75,60-70,70-75,65-75,65-75,7100-7600,120-150,2500-2850,500-520,120-150,410-460,110-125,110-130,120-140,70-90,0-0,0-0,120-130,120-130,0-0,,,,,,,,,,,,,,,,
ethereal warrior,IsEtherealWarrior,123,0,2,Fey,Demon,107.6,80-90,40-50,40-50,40-50,40-50,350-475,175-255,350-450,585-785,175-255,350-450,95-100,90-100,90-100,50-75,0-0,0-0,95-100,95-100,90-100,,,,,,,,,,,,,,,,
ettin,,18,0,4,Repond,Undead,47.3,35-40,15-25,40-50,15-25,15-25,80-100,55-75,30-55,135-165,55-75,30-55,50-60,50-70,40-55,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
evil mage,IsEvilMage,124,0,7,Repond-Mage,Undead,72.2,15-20,5-10,0-0,5-10,5-10,45-65,90-115,95-120,80-105,90-115,95-120,20-60,65-90,75-100,0-0,0-0,0-0,75-100,85-100,0-0,,,,,,,,,,,,,,,,
evil mage lord,IsEvilMageLord,124-125-126,0,7,Repond-Mage,Undead,79.6,35-40,30-40,30-40,30-40,30-40,45-65,190-215,125-150,80-105,190-215,125-150,20-80,65-90,75-100,0-0,0-0,0-0,95-100,90-100,25-50,,,,,,,,,,,,,,,,
evil mage lord,IsEvilMageLord,124-125-126,0,7,Repond-Mage,Undead,140,60-70,60-70,60-70,60-70,60-70,3100-3200,190-220,550-650,80-105,190-220,240-250,90-105,70-80,75-100,0-0,0-0,0-0,95-100,80-100,80-90,,,,,,wrong,,,,,,,,,,
evil mage,IsEvilMage,124,0,7,Repond-Mage,Undead,90,60-70,50-60,50-60,50-60,50-60,750-900,90-115,450-600,75-105,90-115,150-200,80-110,70-90,75-100,0-0,0-0,0-0,75-110,85-110,0-0,,,,,,wrong,,,,,,,,,,
executioner,IsExecutioner,400-401,SkinHue,7,None,None,99.1,35-45,25-30,25-30,10-20,10-20,385-400,150-165,160-175,385-400,150-165,160-175,0-0,125-125,80-95,125-125,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
executioner,IsExecutioner,400-401,SkinHue,7,None,None,99.1,35-45,25-30,25-30,10-20,10-20,1200-1300,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,wrong,,,,,,,,,,
exodus drone,,756,2706,4,None,None,80,45-55,40-60,25-35,25-35,25- 35,330-390,75-95,60-90,550-650,75-95,60-90,80-100,80-100,80-100,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
exodus juggernaut,,752,2703,4,None,None,130,60-80,60-80,20-30,30-40,40- 50,1000-1070,90-100,100-130,1500-1565,90-100,100-130,99-100,99-100,99-100,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
exodus minion,,757,0,4,None,None,92,60-70,40-50,15-25,15-25,15-25,510-570,70-80,60-90,850-950,70-80,60-90,90-100,90-100,90-100,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
exodus minion lord,,763,2706,4,None,None,115,65-80,65-80,20-30,30-40,40-50,900-1000,70-80,60-90,1500-1580,70-80,60-90,99-100,99-100,99-100,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
exodus overseer,,756,0,4,None,None,82.1,45-55,40-60,25-35,25-35,25-35,330-390,75-95,60-90,550-650,75-95,60-90,80-100,80-100,80-100,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
exodus sentinel,,763,2706,4,None,None,90,60-70,40-50,25-35,25-35,25-35,510-570,80-90,80-105,850-950,80-90,80-105,90-100,90-100,90-100,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
fairy dragon,,718,0,4,Reptile-Dragon,Arachnid,106.8,15-30,40-50,40-50,40-50,40-50,345-420,95-110,410-570,500-600,95-110,410-570,80-100,85-100,120-130,65-75,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
fan dancer,,247,0,4,Demon,Elemental-Fey,97,40-60,50-70,50-70,50-70,40-60,350-420,200-255,20-25,315-375,200-255,20-25,85-95,85-95,100-110,85-95,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
feral treefellow,,301,0,4,Fey,Demon,151.6,60-70,0-0,70-80,60-70,40-60,1180-1320,300-530,660-900,1350-1560,300-530,660-900,80-120,65-115,90-120,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
ferret,,279,0,4,None,None,27.8,45-50,10-15,35-40,20-25,20-25,40-50,55-55,75-75,40-50,55-55,75-75,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,-0.9,,,,,,,7-9,1-2,,true,,,,,
fetid essence,,273,0,4,None,None,130.3,40-50,40-50,40-45,75-90,75-70,570-650,210-245,450-540,105-120,210-245,450-540,80-95,80-85,100-115,0-0,100-100,0-0,90-100,80-100,80-100,,,,,,,,,,,,,,,,
fezzik the ogre cook,,1,0,4,Repond-Ogre,Undead,Immune,70-80,70-80,65-75,55-65,65-75,15000-15000,70-80,60-80,1100-1300,70-80,60-80,120-130,120-130,140-150,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
fire ant,,738,0,4,None,None,73.9,45-55,95-100,35-45,35-45,35-45,250-300,100-130,15-30,200-250,100-130,15-30,70-85,70-85,45-60,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
